# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 11 13:14:43 2022
#
# User preference: *
#
# CONSTRAINT:  where (st_nrvc <> 0)
# CONSTRAINT:  order by st_rotp desc, st_nrvc asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass]
# COLUMN pl_msinieerr1:  Planet Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_msinieerr2:  Planet Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_msinielim:   Planet Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmerr1:      Total Proper Motion Upper Unc [mas/yr]
# COLUMN sy_pmerr2:      Total Proper Motion Lower Unc [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN st_nrvc:        Number of Radial Velocity Time Series
#
loc_rowid,pl_name,hostname,default_flag,sy_snum,cb_flag,rv_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,glat,glon,sy_pm,sy_pmerr1,sy_pmerr2,sy_dist,sy_disterr1,sy_disterr2,st_nrvc
428,GJ 1214 b,GJ 1214,1,1,0,1,Published Confirmed,0,1.58040433,0.00000013,-0.00000013,0,0.014900,0.000260,-0.000260,0,8.17000,0.43000,-0.43000,0,,,,,0.063000,,,1,0.18,0.01,-0.01,0,0.290,0.120,-0.120,0,[Fe/H],,,,,124.70,5.00,-4.80,0,23.60704,26.16217,948.0511007,0.3416955,-0.3416955,14.6427000,0.0372000,-0.0372000,1
30837,Proxima Cen b,Proxima Cen,1,3,0,1,Published Confirmed,0,11.18600000,0.00100000,-0.00200000,0,0.048500,0.004100,-0.005100,0,,,,,1.27000,0.19000,-0.17000,0,0.350000,,,1,0.12,0.01,-0.01,0,,,,,,,,,,83.00,,,0,-1.91805,313.92595,3858.8657674,0.0915852,-0.0915852,1.3011900,0.0003400,-0.0003500,2
1760,HD 181433 b,HD 181433,0,1,0,1,Published Confirmed,0,9.37450000,0.00020000,-0.00020000,0,0.080100,0.000100,-0.000100,0,,,,,7.08757,0.09535,-0.09535,0,0.336000,0.014000,-0.014000,0,0.78,,,0,0.330,0.130,-0.130,0,[Fe/H],6.700,1.800,-1.800,0,54.00,,,0,-28.04356,329.51487,330.0287524,0.0419822,-0.0419822,26.8762000,0.0225000,-0.0225000,1
1765,HD 181433 c,HD 181433,0,1,0,1,Published Confirmed,0,1014.50000000,0.60000000,-0.60000000,0,1.819000,0.001000,-0.001000,0,,,,,214.21635,0.95349,-0.95349,0,0.235000,0.003000,-0.003000,9,0.78,,,0,0.330,0.130,-0.130,0,[Fe/H],6.700,1.800,-1.800,0,54.00,,,0,-28.04356,329.51487,330.0287524,0.0419822,-0.0419822,26.8762000,0.0225000,-0.0225000,1
1767,HD 181433 d,HD 181433,0,1,0,1,Published Confirmed,0,7012.00000000,276.00000000,-276.00000000,0,6.600000,0.220000,-0.220000,0,,,,,194.51099,1.27131,-1.27131,0,0.469000,0.013000,-0.013000,0,0.78,,,0,0.330,0.130,-0.130,0,[Fe/H],6.700,1.800,-1.800,0,54.00,,,0,-28.04356,329.51487,330.0287524,0.0419822,-0.0419822,26.8762000,0.0225000,-0.0225000,1
2271,HD 38801 b,HD 38801,1,1,0,1,Published Confirmed,0,685.25000000,0.85000000,-0.85000000,0,1.623000,0.047000,-0.049000,0,,,,,3082.31534,182.11659,-186.56621,0,0.017000,0.013000,-0.011000,0,1.21,0.11,-0.11,0,0.250,0.030,-0.030,0,[Fe/H],6.072,1.835,-1.835,0,47.00,,,0,-17.86346,213.26791,95.1686535,0.0706551,-0.0706551,91.4349000,0.3468000,-0.3468000,2
2164,HD 30177 b,HD 30177,1,1,0,1,Published Confirmed,0,2527.83000000,4.71000000,-4.69000000,0,3.704000,0.027000,-0.027000,0,,,,,2740.33026,39.72875,-40.04658,0,0.162000,0.010000,-0.010000,0,1.05,0.02,-0.02,0,0.390,0.050,-0.050,0,[Fe/H],2.525,1.954,-1.954,0,45.00,,,0,-39.73385,267.36972,67.2822907,0.0636257,-0.0636257,55.5867000,0.1270000,-0.1264000,2
2361,HD 48265 b,HD 48265,1,1,0,1,Published Confirmed,0,778.51000000,5.38000000,-5.18000000,0,1.814000,0.030000,-0.031000,0,,,,,484.69075,15.57367,-15.89150,0,0.211000,0.089000,-0.096000,0,1.31,0.06,-0.06,0,0.300,0.040,-0.040,0,[Fe/H],4.201,0.625,-0.625,0,45.00,,,0,-21.78048,257.52693,39.7813595,0.0585179,-0.0585179,90.5446000,0.2702000,-0.2687000,2
553,GJ 436 b,GJ 436,0,1,0,1,Published Confirmed,0,2.64389803,0.00000026,-0.00000026,0,,,,,25.40000,2.10000,-2.00000,0,,,,,0.161600,0.004000,-0.004000,0,0.45,0.04,-0.04,0,,,,,,,,,,44.09,0.08,-0.08,0,74.57238,210.55638,1209.8576781,0.1257212,-0.1257212,9.7532100,0.0089800,-0.0089600,5
2135,HD 27894 b,HD 27894,1,1,0,1,Published Confirmed,0,18.02000000,0.01000000,-0.02000000,0,0.125000,0.000100,-0.000100,0,,,,,211.35695,2.86047,-2.22481,0,0.047000,0.012000,-0.008000,0,0.80,,,0,0.300,0.070,-0.070,0,[Fe/H],,,,,44.00,,,0,-42.00943,270.09987,325.7145651,0.0763298,-0.0763298,43.8214000,0.0593000,-0.0591000,1
